type,sub_type,mdate,authors,editors,title,year,month,journal,volume,number,chapter,pages,ee,isbn,url,booktitle,crossref,publisher,school,citations,series
inproceedings,,2021-08-11,"['Bojie Li', 'Gefei Zuo', 'Wei Bai', 'Lintao Zhang']",[],1Pipe: scalable total order communication in data center networks.,2021,,,,,,78-92,https://doi.org/10.1145/3452296.3472909,,db/conf/sigcomm/sigcomm2021.html#LiZBZ21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2022-04-09,"['Che-Yu Liu', 'Xiaoliang Chen', 'Roberto Proietti', 'Zhaohui Li', 'S. J. Ben Yoo']",[],Reconfigurable Optical Datacom Networks by Self-supervised Learning.,2021,,,,,,23-27,https://doi.org/10.1145/3473938.3474509,,db/conf/sigcomm/optsys2021.html#LiuCPLY21,OptSys@SIGCOMM,conf/sigcomm/2021optsys,,,[],
inproceedings,,2021-08-11,"['Ajay Mahimkar', 'Ashiwan Sivakumar', 'Zihui Ge', 'Shomik Pathak', 'Karunasish Biswas']",[],Auric: using data-driven recommendation to automatically generate cellular configuration.,2021,,,,,,807-820,https://doi.org/10.1145/3452296.3472906,,db/conf/sigcomm/sigcomm2021.html#MahimkarSGPB21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-08-11,"['Pooria Namyar', 'Sucha Supittayapornpong', 'Mingyang Zhang 0005', 'Minlan Yu', 'Ramesh Govindan']",[],A throughput-centric view of the performance of datacenter topologies.,2021,,,,,,349-369,https://doi.org/10.1145/3452296.3472913,,db/conf/sigcomm/sigcomm2021.html#NamyarS0YG21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-08-11,"['Jordi Ros-Giralt', 'Noah Amsel', 'Sruthi Yellamraju', 'James R. Ezick', 'Richard Lethin', 'Yuang Jiang', 'Aosong Feng', 'Leandros Tassiulas', 'Zhenguo Wu', 'Min Yee Teh', 'Keren Bergman']",[],Designing data center networks using bottleneck structures.,2021,,,,,,319-348,https://doi.org/10.1145/3452296.3472898,,db/conf/sigcomm/sigcomm2021.html#Ros-GiraltAYELJ21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-08-26,"['Archit Sanghi', 'Krishna P. Kadiyala', 'Praveen Tammana', 'Saurabh Joshi 0001']",[],Anomaly Detection in Data Plane Systems using Packet Execution Paths.,2021,,,,,,9-15,https://doi.org/10.1145/3472873.3472880,,db/conf/sigcomm/spin2021.html#SanghiKT021,SPIN@SIGCOMM,conf/sigcomm/2021spin,,,[],
inproceedings,,2021-10-14,"['Tibor Schneider', 'Rüdiger Birkner', 'Laurent Vanbever']",[],Snowcap: synthesizing network-wide configuration updates.,2021,,,,,,33-49,https://doi.org/10.1145/3452296.3472915,,db/conf/sigcomm/sigcomm2021.html#SchneiderBV21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-12-06,"['Junyi Shu', 'Xin Jin 0008', 'Yun Ma 0002', 'Xuanzhe Liu', 'Gang Huang']",[],Cost-effective data analytics across multiple cloud regions.,2021,,,,,,1-3,https://doi.org/10.1145/3472716.3472842,,db/conf/sigcomm/p2021.html#ShuJ0LH21,SIGCOMM Posters and Demos,conf/sigcomm/2021p,,,[],
inproceedings,,2021-08-11,"['John Sonchack', 'Devon Loehr', 'Jennifer Rexford', 'David Walker']",[],Lucid: a language for control in the data plane.,2021,,,,,,731-747,https://doi.org/10.1145/3452296.3472903,,db/conf/sigcomm/sigcomm2021.html#SonchackLRW21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-08-11,"['Bingchuan Tian', 'Jiaqi Gao', 'Mengqi Liu', 'Ennan Zhai', 'Yanqing Chen', 'Yu Zhou', 'Li Dai', 'Feng Yan', 'Mengjing Ma', 'Ming Tang', 'Jie Lu', 'Xionglie Wei', 'Hongqiang Harry Liu', 'Ming Zhang', 'Chen Tian 0001', 'Minlan Yu']",[],Aquila: a practically usable verification system for production-scale programmable data planes.,2021,,,,,,17-32,https://doi.org/10.1145/3452296.3472937,,db/conf/sigcomm/sigcomm2021.html#TianGLZCZDYMTLW21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2022-04-09,"['William Tu', 'Yi-Hung Wei', 'Gianni Antichi', 'Ben Pfaff']",[],revisiting the open vSwitch dataplane ten years later.,2021,,,,,,245-257,https://doi.org/10.1145/3452296.3472914,,db/conf/sigcomm/sigcomm2021.html#TuWAP21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-08-26,"['Weitao Wang', 'Sushovan Das', 'T. S. Eugene Ng']",[],Abstractions for Reconfigurable Hybrid Network Update and A Consistent Update Approach.,2021,,,,,,6-11,https://doi.org/10.1145/3473938.3474506,,db/conf/sigcomm/optsys2021.html#WangDN21,OptSys@SIGCOMM,conf/sigcomm/2021optsys,,,[],
inproceedings,,2021-08-22,"['Ertza Warraich', 'Muhammad Shahbaz']",[],Constructing the face of network data.,2021,,,,,,21-23,https://doi.org/10.1145/3472716.3472852,,db/conf/sigcomm/p2021.html#WarraichS21,SIGCOMM Posters and Demos,conf/sigcomm/2021p,,,[],
inproceedings,,2021-08-27,"['Siyu Yan', 'Xiaoliang Wang 0001', 'Xiaolong Zheng', 'Yinben Xia', 'Derui Liu', 'Weishan Deng']",[],ACC: automatic ECN tuning for high-speed datacenter networks.,2021,,,,,,384-397,https://doi.org/10.1145/3452296.3472927,,db/conf/sigcomm/sigcomm2021.html#YanWZXLD21,SIGCOMM,conf/sigcomm/2021,,,[],
inproceedings,,2021-07-25,"['Junjie Zhang 0001', 'Zehua Guo 0001', 'Minghao Ye', 'H. Jonathan Chao']",[],SmartEntry: Mitigating Routing Update Overhead with Reinforcement Learning for Traffic Engineering.,2020,,,,,,1-7,https://doi.org/10.1145/3405671.3405809,,db/conf/sigcomm/netai2020.html#00010YC20,NetAI@SIGCOMM,conf/sigcomm/2020netai,,,[],
inproceedings,,2020-08-10,"['Ahmed Saeed 0001', 'Varun Gupta', 'Prateesh Goyal', 'Milad Sharif', 'Rong Pan', 'Mostafa H. Ammar', 'Ellen W. Zegura', 'Keon Jang', 'Mohammad Alizadeh', 'Abdul Kabbani', 'Amin Vahdat']",[],Annulus: A Dual Congestion Control Loop for Datacenter and WAN Traffic Aggregates.,2020,,,,,,735-749,https://doi.org/10.1145/3387514.3405899,,db/conf/sigcomm/sigcomm2020.html#0001GGSPAZJAKV20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2020-08-05,"['Yu Zhou 0008', 'Chen Sun', 'Hongqiang Harry Liu', 'Rui Miao', 'Shi Bai', 'Bo Li', 'Zhilong Zheng', 'Lingjun Zhu', 'Zhen Shen', 'Yongqing Xi', 'Pengcheng Zhang', 'Dennis Cai', 'Ming Zhang 0005', 'Mingwei Xu']",[],Flow Event Telemetry on Programmable Data Plane.,2020,,,,,,76-89,https://doi.org/10.1145/3387514.3406214,,db/conf/sigcomm/sigcomm2020.html#0008SLMBLZZSXZC20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2021-09-22,['Amer AlGhadhban'],[],FSO clusters for data center network management and packet telemetry.,2020,,,,,,9-11,https://doi.org/10.1145/3405837.3411372,,db/conf/sigcomm/p2020.html#AlGhadhban20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2020-08-10,"['Hitesh Ballani', 'Paolo Costa', 'Raphael Behrendt', 'Daniel Cletheroe', 'István Haller', 'Krzysztof Jozwik', 'Fotini Karinou', 'Sophie Lange', 'Kai Shi', 'Benn Thomsen', 'Hugh Williams']",[],Sirius: A Flat Datacenter Network with Nanosecond Optical Switching.,2020,,,,,,782-797,https://doi.org/10.1145/3387514.3406221,,db/conf/sigcomm/sigcomm2020.html#BallaniCBCHJKLS20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2021-09-22,"['Guilherme Bueno', 'Mateus Saquetti', 'José Rodrigo Azambuja', 'Weverton Cordeiro']",[],Defending lightweight virtual switches from cross-app poisoning attacks with vIFC.,2020,,,,,,30-32,https://doi.org/10.1145/3405837.3411380,,db/conf/sigcomm/p2020.html#BuenoSAC20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2021-09-22,"['Lucas Castanheira', 'Alberto Schaeffer-Filho', 'Theophilus A. Benson']",[],Optimized tracing of iCF-enabled programmable data planes.,2020,,,,,,91-93,https://doi.org/10.1145/3405837.3411376,,db/conf/sigcomm/p2020.html#CastanheiraSB20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2020-08-04,"['Xiaoqi Chen', 'Shir Landau Feibish', 'Mark Braverman', 'Jennifer Rexford']",[],"BeauCoup: Answering Many Network Traffic Queries, One Memory Update at a Time.",2020,,,,,,226-239,https://doi.org/10.1145/3387514.3405865,,db/conf/sigcomm/sigcomm2020.html#ChenFBR20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2020-07-24,"['Xiaoqi Chen', 'Hyojoon Kim', 'Javed M. Aman', 'Willie Chang', 'Mack Lee', 'Jennifer Rexford']",[],Measuring TCP Round-Trip Time in the Data Plane.,2020,,,,,,35-41,https://doi.org/10.1145/3405669.3405823,,db/conf/sigcomm/spin2020.html#ChenKACLR20,SPIN@SIGCOMM,conf/sigcomm/2020spin,,,[],
inproceedings,,2020-08-10,"['Vojislav Dukic', 'Ginni Khanna', 'Christos Gkantsidis', 'Thomas Karagiannis', 'Francesca Parmigiani', 'Ankit Singla', 'Mark Filer', 'Jeffrey L. Cox', 'Anna Ptasznik', 'Nick Harland', 'Winston Saunders', 'Christian Belady']",[],Beyond the mega-data center: networking multi-data center regions.,2020,,,,,,765-781,https://doi.org/10.1145/3387514.3406220,,db/conf/sigcomm/sigcomm2020.html#DukicKGKPSFCPHS20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2020-10-25,"['Jiaqi Gao', 'Ennan Zhai', 'Hongqiang Harry Liu', 'Rui Miao', 'Yu Zhou 0008', 'Bingchuan Tian', 'Chen Sun', 'Dennis Cai', 'Ming Zhang 0005', 'Minlan Yu']",[],Lyra: A Cross-Platform Language and Compiler for Data Plane Programming on Heterogeneous ASICs.,2020,,,,,,435-450,https://doi.org/10.1145/3387514.3405879,,db/conf/sigcomm/sigcomm2020.html#GaoZLMZTSCZY20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2020-10-25,"['Shuihai Hu', 'Wei Bai 0001', 'Gaoxiong Zeng', 'Zilong Wang', 'Baochen Qiao', 'Kai Chen 0005', 'Kun Tan', 'Yi Wang']",[],Aeolus: A Building Block for Proactive Transport in Datacenters.,2020,,,,,,422-434,https://doi.org/10.1145/3387514.3405878,,db/conf/sigcomm/sigcomm2020.html#HuBZWQ0TW20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2021-09-22,"['Tianchi Huang', 'Lifeng Sun']",[],Optimized bitrate ladders for adaptive video streaming with deep reinforcement learning.,2020,,,,,,46-48,https://doi.org/10.1145/3405837.3411387,,db/conf/sigcomm/p2020.html#HuangS20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2021-09-22,"['Xin Zhe Khooi', 'Levente Csikor', 'Min Suk Kang', 'Dinil Mon Divakaran']",[],In-network defense against AR-DDoS attacks.,2020,,,,,,18-20,https://doi.org/10.1145/3405837.3411375,,db/conf/sigcomm/p2020.html#KhooiCKD20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2020-08-10,"['Gautam Kumar', 'Nandita Dukkipati', 'Keon Jang', 'Hassan M. G. Wassel', 'Xian Wu', 'Behnam Montazeri', 'Yaogong Wang', 'Kevin Springborn', 'Christopher Alfeld', 'Michael Ryan', 'David Wetherall', 'Amin Vahdat']",[],Swift: Delay is Simple and Effective for Congestion Control in the Datacenter.,2020,,,,,,514-528,https://doi.org/10.1145/3387514.3406591,,db/conf/sigcomm/sigcomm2020.html#KumarDJWWMWSARW20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2022-04-09,"['Sebastiano Miano', 'Gábor Rétvári', 'Fulvio Risso', 'Andrew W. Moore 0002', 'Gianni Antichi']",[],Automatic optimization of software data planes.,2020,,,,,,27-29,https://doi.org/10.1145/3405837.3411379,,db/conf/sigcomm/p2020.html#MianoRR0A20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2020-08-05,"['Abhijit Mondal', 'Sandip Chakraborty']",[],Federated Adaptive Bitrate Live Streaming over Locality Sensitive Playback Coalitions.,2020,,,,,,28-34,https://doi.org/10.1145/3405672.3405806,,db/conf/sigcomm/nai2020.html#MondalC20,NAI@SIGCOMM,conf/sigcomm/2020nai,,,[],
inproceedings,,2020-09-05,"['Minh Nguyen', 'Hadi Amirpour', 'Christian Timmerer', 'Hermann Hellwagner']",[],Scalable High Efficiency Video Coding based HTTP Adaptive Streaming over QUIC.,2020,,,,,,28-34,https://doi.org/10.1145/3405796.3405829,,db/conf/sigcomm/epiq2020.html#NguyenATH20,EPIQ@SIGCOMM,conf/sigcomm/2020epiq,,,[],
inproceedings,,2022-04-09,"['István Pelle', 'János Czentye', 'János Dóka', 'Balázs Sonkoly']",[],Dynamic latency control of serverless applications operated on AWS lambda and greengrass.,2020,,,,,,33-34,https://doi.org/10.1145/3405837.3411381,,db/conf/sigcomm/p2020.html#PelleCDS20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2022-04-09,"['Suneet Kumar Singh', 'Christian Esteve Rothenberg', 'Marcelo Caggiani Luizelli', 'Gianni Antichi', 'Gergely Pongrácz']",[],"Revisiting heavy-hitters: don't count packets, compute flow inter-packet metrics in the data plane.",2020,,,,,,49-51,https://doi.org/10.1145/3405837.3411388,,db/conf/sigcomm/p2020.html#SinghRLAP20,SIGCOMM Posters and Demos,conf/sigcomm/2020p,,,[],
inproceedings,,2020-08-10,"['Arjun Singhvi', 'Aditya Akella', 'Dan Gibson', 'Thomas F. Wenisch', 'Monica Wong-Chan', 'Sean Clark', 'Milo M. K. Martin', 'Moray McLaren', 'Prashant Chandra', 'Rob Cauble', 'Hassan M. G. Wassel', 'Behnam Montazeri', 'Simon L. Sabato', 'Joel Scherpelz', 'Amin Vahdat']",[],1RMA: Re-envisioning Remote Memory Access for Multi-tenant Datacenters.,2020,,,,,,708-721,https://doi.org/10.1145/3387514.3405897,,db/conf/sigcomm/sigcomm2020.html#SinghviAGWWCMMC20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2021-04-01,"['Hardik Soni 0001', 'Myriana Rifai', 'Praveen Kumar 0003', 'Ryan Doenges', 'Nate Foster']",[],Composing Dataplane Programs with μP4.,2020,,,,,,329-343,https://doi.org/10.1145/3387514.3405872,,db/conf/sigcomm/sigcomm2020.html#SoniR0DF20,SIGCOMM,conf/sigcomm/2020,,,[],
inproceedings,,2020-07-27,"['Panchapakesan C. Sruthi', 'Sanjay Rao', 'Bruno Ribeiro 0001']",[],Pitfalls of data-driven networking: A case study of latent causal confounders in video streaming.,2020,,,,,,42-47,https://doi.org/10.1145/3405671.3405815,,db/conf/sigcomm/netai2020.html#SruthiRR20,NetAI@SIGCOMM,conf/sigcomm/2020netai,,,[],
