type,sub_type,mdate,authors,editors,title,year,month,journal,volume,number,chapter,pages,ee,isbn,url,booktitle,crossref,publisher,school,citations,series
inproceedings,,2021-11-10,"['Ish Kumar Jain', 'Raghav Subbaraman', 'Dinesh Bharadia']",[],Demo and dataset for mmWave multi-beam tracking using mMobile 28 GHz testbed.,2021,,,,,,8,https://doi.org/10.1145/3477087.3478383,,db/conf/mobicom/s3-2021.html#JainSB21,S3@MobiCom,conf/mobicom/2021s3,,,[],
inproceedings,,2021-11-10,"['Sreejesh Sidharthan', 'Ashwin Ashok', 'Anu G. Bourgeois']",[],Internet service via UAV: user centric comprehensive attack surface analysis.,2021,,,,,,1-2,https://doi.org/10.1145/3477087.3478379,,db/conf/mobicom/s3-2021.html#SidharthanAB21,S3@MobiCom,conf/mobicom/2021s3,,,[],
inproceedings,,2022-04-09,"['Liang Tan', 'Keping Yu', 'Caixia Yang', 'Ali Kashif Bashir']",[],A blockchain-based Shamir's threshold cryptography for data protection in industrial internet of things of smart city.,2021,,,,,,13-18,https://doi.org/10.1145/3477084.3484951,,db/conf/mobicom/6gabs2021.html#TanYYB21,6G-ABS@MobiCom,conf/mobicom/20216gabs,,,[],
inproceedings,,2021-12-15,"['Simon Keller', 'Rainer Mueller']",[],Decentralized stream processing for spatial range queries in high-density systems.,2020,,,,,,36-41,https://doi.org/10.1145/3411043.3412503,,db/conf/mobiarch/mobiarch2020.html#KellerM20,MobiArch@MobiCom,conf/mobiarch/2020,,,[],
inproceedings,,2022-04-09,"['Suhyeon Lee 0001', 'Seungjoo Kim']",[],"Proof-of-stake at stake: predatory, destructive attack on PoS cryptocurrencies.",2020,,,,,,7-11,https://doi.org/10.1145/3410699.3413791,,db/conf/mobicom/cryblock2020.html#0001K20,CryBlock@MOBICOM,conf/mobicom/2020cryblock,,,[],
inproceedings,,2021-12-15,"['Bastian Bloessl', 'Lars Baumgärtner', 'Matthias Hollick']",[],Hardware-Accelerated Real-Time Stream Data Processing on Android with GNU Radio.,2020,,,,,,103-109,https://doi.org/10.1145/3411276.3412184,,db/conf/mobicom/wintech2020.html#BloesslBH20,WiNTECH@MOBICOM,conf/mobicom/2020wintech,,,[],
inproceedings,,2022-01-03,"['Joe Breen', 'Andrew Buffmire', 'Jonathon Duerig', 'Kevin Dutt', 'Eric Eide', 'Mike Hibler', 'David Johnson 0004', 'Sneha Kumar Kasera', 'Earl Lewis', 'Dustin Maas', 'Alex Orange', 'Neal Patwari', 'Daniel Reading', 'Robert Ricci', 'David Schurig', 'Leigh B. Stoller', 'Jacobus E. van der Merwe', 'Kirk Webb', 'Gary Wong']",[],POWDER: Platform for Open Wireless Data-driven Experimental Research.,2020,,,,,,17-24,https://doi.org/10.1145/3411276.3412204,,db/conf/mobicom/wintech2020.html#BreenBDDEH0KLMO20,WiNTECH@MOBICOM,conf/mobicom/2020wintech,,,[],
inproceedings,,2021-03-11,"['Haotian Deng', 'Qianru Li', 'Jingqi Huang', 'Chunyi Peng 0001']",[],iCellSpeed: increasing cellular data speed with device-assisted cell selection.,2020,,,,,,44:1-44:13,https://doi.org/10.1145/3372224.3419201,,db/conf/mobicom/mobicom2020.html#DengLHP20,MobiCom,conf/mobicom/2020,,,[],
inproceedings,,2020-10-26,"['Bishmita Hazarika', 'Rakesh Matam', 'Mithun Mukherjee 0001', 'Varun G. Menon']",[],DIO messages and trickle timer analysis of RPL routing protocol for UAV-assisted data collection in IoT.,2020,,,,,,86-90,https://doi.org/10.1145/3414045.3415944,,db/conf/mobicom/dronecom2020.html#HazarikaM0M20,DroneCom@MOBICOM,conf/mobicom/2020dronecom,,,[],
inproceedings,,2021-12-15,"['Lyudmila Kovalchuk', 'Mariia Rodinko', 'Roman Oliynykov']",[],Upper bound probability of double spend attack on SPECTRE.,2020,,,,,,18-22,https://doi.org/10.1145/3410699.3413792,,db/conf/mobicom/cryblock2020.html#KovalchukRO20,CryBlock@MOBICOM,conf/mobicom/2020cryblock,,,[],
inproceedings,,2022-01-03,"['Léonard Lys', 'Arthur Micoulet', 'Maria Potop-Butucaru']",[],Atomic cross chain swaps via relays and adapters.,2020,,,,,,59-64,https://doi.org/10.1145/3410699.3413799,,db/conf/mobicom/cryblock2020.html#LysMP20,CryBlock@MOBICOM,conf/mobicom/2020cryblock,,,[],
inproceedings,,2021-12-15,"['Sajad Saghaye-Polkoo', 'Pooya Nabavi', 'Murat Yuksel', 'Kyle Renshaw']",[],Multi-LED multi-datastream dome bulb for dense visible light communication networks.,2020,,,,,,12-17,https://doi.org/10.1145/3412449.3412550,,db/conf/mobicom/liot2020.html#Saghaye-PolkooN20,LIOT@MOBICOM,conf/mobicom/2020liot,,,[],
inproceedings,,2020-11-30,"['Zhihao Shen', 'Wan Du', 'Xi Zhao 0001', 'Jianhua Zou']",[],DMM: fast map matching for cellular data.,2020,,,,,,60:1-60:14,https://doi.org/10.1145/3372224.3421461,,db/conf/mobicom/mobicom2020.html#ShenD0Z20,MobiCom,conf/mobicom/2020,,,[],
inproceedings,,2021-06-29,"['Xiaoding Wang', 'Jia Hu 0001', 'Hui Lin 0007']",[],An intelligent UAV based data aggregation strategy for IoT after disaster scenarios.,2020,,,,,,97-101,https://doi.org/10.1145/3414045.3415940,,db/conf/mobicom/dronecom2020.html#WangH020,DroneCom@MOBICOM,conf/mobicom/2020dronecom,,,[],
