type,sub_type,mdate,authors,editors,title,year,month,journal,volume,number,chapter,pages,ee,isbn,url,booktitle,crossref,publisher,school,citations,series
article,,2022-04-01,"['Omar Busaileh', 'Ammar Hawbani', 'Xingfu Wang', 'Ping Liu', 'Liang Zhao 0004', 'Ahmed Al-Dubai 0001']",[],Tuft: Tree Based Heuristic Data Dissemination for Mobile Sink Wireless Sensor Networks.,2022,,IEEE Trans. Mob. Comput.,21,4,,1520-1536,https://doi.org/10.1109/TMC.2020.3022403,,db/journals/tmc/tmc21.html#BusailehHWLZA22,,,,,[],
article,,2022-02-23,"['Yubin Duan', 'Jie Wu 0001']",[],Spatial-Temporal Inventory Rebalancing for Bike Sharing Systems With Worker Recruitment.,2022,,IEEE Trans. Mob. Comput.,21,3,,1081-1095,https://doi.org/10.1109/TMC.2020.3018469,,db/journals/tmc/tmc21.html#DuanW22,,,,,[],
article,,2022-04-01,"['Kaiwen He', 'Xu Chen 0004', 'Qiong Wu 0009', 'Shuai Yu', 'Zhi Zhou 0006']",[],Graph Attention Spatial-Temporal Network With Collaborative Global-Local Learning for Citywide Mobile Traffic Prediction.,2022,,IEEE Trans. Mob. Comput.,21,4,,1244-1256,https://doi.org/10.1109/TMC.2020.3020582,,db/journals/tmc/tmc21.html#HeCWYZ22,,,,,[],
article,,2022-03-15,"['Yu He', 'Guangjie Han', 'Jinfang Jiang', 'Hao Wang 0047', 'Miguel Martínez-García']",[],A Trust Update Mechanism Based on Reinforcement Learning in Underwater Acoustic Sensor Networks.,2022,,IEEE Trans. Mob. Comput.,21,3,,811-821,https://doi.org/10.1109/TMC.2020.3020313,,db/journals/tmc/tmc21.html#HeHJWM22,,,,,[],
article,,2022-02-23,"['Huoran Li', 'Fuqi Lin', 'Xuan Lu', 'Chenren Xu', 'Gang Huang 0001', 'Jun Zhang', 'Qiaozhu Mei', 'Xuanzhe Liu']",[],Systematic Analysis of Fine-Grained Mobility Prediction With On-Device Contextual Data.,2022,,IEEE Trans. Mob. Comput.,21,3,,1096-1109,https://doi.org/10.1109/TMC.2020.3015921,,db/journals/tmc/tmc21.html#LiLLXHZML22,,,,,[],
article,,2021-12-15,"['Xuxun Liu 0001', 'Peihang Lin', 'Tang Liu 0001', 'Tian Wang 0001', 'Anfeng Liu', 'Wenzheng Xu']",[],Objective-Variable Tour Planning for Mobile Data Collection in Partitioned Sensor Networks.,2022,,IEEE Trans. Mob. Comput.,21,1,,239-251,https://doi.org/10.1109/TMC.2020.3003004,,db/journals/tmc/tmc21.html#LiuLLWLX22,,,,,[],
article,,2022-04-01,"['Xuan Liu', 'Jiangjin Yin', 'Jia Liu 0008', 'Shigeng Zhang', 'Bin Xiao 0001']",[],Time Efficient Tag Searching in Large-Scale RFID Systems: A Compact Exclusive Validation Method.,2022,,IEEE Trans. Mob. Comput.,21,4,,1476-1491,https://doi.org/10.1109/TMC.2020.3021678,,db/journals/tmc/tmc21.html#LiuYLZX22,,,,,[],
article,,2022-02-23,"['Paul J. Marcelis', 'Nikolaos Kouvelas', 'Vijay S. Rao', 'R. Venkatesha Prasad']",[],DaRe: Data Recovery Through Application Layer Coding for LoRaWAN.,2022,,IEEE Trans. Mob. Comput.,21,3,,895-910,https://doi.org/10.1109/TMC.2020.3016654,,db/journals/tmc/tmc21.html#MarcelisKRP22,,,,,[],
article,,2022-04-01,"['Zhaolong Ning', 'Peiran Dong', 'Xiaojie Wang 0001', 'Xiping Hu 0001', 'Jiangchuan Liu', 'Lei Guo 0005', 'Bin Hu 0001', 'Ricky Yu-Kwong Kwok', 'Victor C. M. Leung']",[],Partial Computation Offloading and Adaptive Task Scheduling for 5G-Enabled Vehicular Networks.,2022,,IEEE Trans. Mob. Comput.,21,4,,1319-1333,https://doi.org/10.1109/TMC.2020.3025116,,db/journals/tmc/tmc21.html#NingDWHLGHKL22,,,,,[],
article,,2022-04-01,"['Enshu Wang', 'Rong Ding', 'Zhaoxing Yang', 'Haiming Jin', 'Chenglin Miao', 'Lu Su', 'Fan Zhang', 'Chunming Qiao', 'Xinbing Wang']",[],Joint Charging and Relocation Recommendation for E-Taxi Drivers via Multi-Agent Mean Field Hierarchical Reinforcement Learning.,2022,,IEEE Trans. Mob. Comput.,21,4,,1274-1290,https://doi.org/10.1109/TMC.2020.3022173,,db/journals/tmc/tmc21.html#WangDYJMSZQW22,,,,,[],
article,,2022-02-10,"['Zhiyuan Wang', 'Lin Gao 0001', 'Jianwei Huang 0001']",[],Location-Flexible Mobile Data Service in Overseas Market.,2022,,IEEE Trans. Mob. Comput.,21,2,,629-643,https://doi.org/10.1109/TMC.2020.3014621,,db/journals/tmc/tmc21.html#WangGH22,,,,,[],
article,,2022-02-10,"['Xiaonan Wang 0001', 'Yimi Lu']",[],Efficient Forwarding and Data Acquisition in NDN-Based MANET.,2022,,IEEE Trans. Mob. Comput.,21,2,,530-539,https://doi.org/10.1109/TMC.2020.3012483,,db/journals/tmc/tmc21.html#WangL22,,,,,[],
