type,sub_type,mdate,authors,editors,title,year,month,journal,volume,number,chapter,pages,ee,isbn,url,booktitle,crossref,publisher,school,citations,series
article,,2022-03-15,"['Ning Chen 0008', 'Tie Qiu 0001', 'Zilong Lu', 'Dapeng Oliver Wu']",[],An Adaptive Robustness Evolution Algorithm With Self-Competition and its 3D Deployment for Internet of Things.,2022,,IEEE/ACM Trans. Netw.,30,1,,368-381,https://doi.org/10.1109/TNET.2021.3113916,,db/journals/ton/ton30.html#ChenQLW22,,,,,[],
article,,2022-03-15,"['Xilai Liu', 'Yan Xu', 'Peng Liu', 'Tong Yang 0003', 'Jiaqi Xu', 'Lun Wang', 'Gaogang Xie', 'Xiaoming Li 0001', 'Steve Uhlig']",[],SEAD Counter: Self-Adaptive Counters With Different Counting Ranges.,2022,,IEEE/ACM Trans. Netw.,30,1,,90-106,https://doi.org/10.1109/TNET.2021.3107418,,db/journals/ton/ton30.html#LiuXLYXWXLU22,,,,,[],
article,,2022-03-15,"['Xiaobo Ma', 'Jian Qu', 'Jianfeng Li', 'John C. S. Lui', 'Zhenhua Li 0001', 'Wenmao Liu', 'Xiaohong Guan']",[],Inferring Hidden IoT Devices and User Interactions via Spatial-Temporal Traffic Fingerprinting.,2022,,IEEE/ACM Trans. Netw.,30,1,,394-408,https://doi.org/10.1109/TNET.2021.3112480,,db/journals/ton/ton30.html#MaQLLLLG22,,,,,[],
article,,2022-03-15,"['Xiaoyi Pang', 'Zhibo Wang', 'Defang Liu', 'John C. S. Lui', 'Qian Wang 0002', 'Ju Ren']",[],Towards Personalized Privacy-Preserving Truth Discovery Over Crowdsourced Data Streams.,2022,,IEEE/ACM Trans. Netw.,30,1,,327-340,https://doi.org/10.1109/TNET.2021.3110052,,db/journals/ton/ton30.html#PangWLLWR22,,,,,[],
article,,2022-03-15,"['Zhiguo Shi', 'Guang Yang', 'Xiaowen Gong', 'Shibo He', 'Jiming Chen 0001']",[],Quality-Aware Incentive Mechanisms Under Social Influences in Data Crowdsourcing.,2022,,IEEE/ACM Trans. Netw.,30,1,,176-189,https://doi.org/10.1109/TNET.2021.3105427,,db/journals/ton/ton30.html#ShiYGHC22,,,,,[],
article,,2022-03-15,"['Junjie Xie', 'Chen Qian 0001', 'Deke Guo', 'Minmei Wang', 'Ge Wang 0003', 'Honghui Chen']",[],COIN: An Efficient Indexing Mechanism for Unstructured Data Sharing Systems.,2022,,IEEE/ACM Trans. Netw.,30,1,,313-326,https://doi.org/10.1109/TNET.2021.3110782,,db/journals/ton/ton30.html#XieQGWWC22,,,,,[],
article,,2022-03-15,"['Lizhao You', 'Jiahua Zhang', 'Yili Jin', 'Hao Tang', 'Xiao Li']",[],Fast Configuration Change Impact Analysis for Network Overlay Data Center Networks.,2022,,IEEE/ACM Trans. Netw.,30,1,,423-436,https://doi.org/10.1109/TNET.2021.3114448,,db/journals/ton/ton30.html#YouZJTL22,,,,,[],
article,,2022-03-15,"['Sheng Zhang 0001', 'Can Wang', 'Yibo Jin 0001', 'Jie Wu 0001', 'Zhuzhong Qian', 'Mingjun Xiao', 'Sanglu Lu']",[],Adaptive Configuration Selection and Bandwidth Allocation for Edge-Based Video Analytics.,2022,,IEEE/ACM Trans. Netw.,30,1,,285-298,https://doi.org/10.1109/TNET.2021.3106937,,db/journals/ton/ton30.html#ZhangWJWQXL22,,,,,[],
article,,2021-07-13,"['Ahmed Mohamed Abdelmoniem', 'Brahim Bensaou']",[],T-RACKs: A Faster Recovery Mechanism for TCP in Data Center Networks.,2021,,IEEE/ACM Trans. Netw.,29,3,,1074-1087,https://doi.org/10.1109/TNET.2021.3059913,,db/journals/ton/ton29.html#AbdelmoniemB21,,,,,[],
article,,2022-01-08,"['Mohammed Alasmar', 'George Parisis', 'Jon Crowcroft']",[],SCDP: Systematic Rateless Coding for Efficient Data Transport in Data Centers.,2021,,IEEE/ACM Trans. Netw.,29,6,,2723-2736,https://doi.org/10.1109/TNET.2021.3098386,,db/journals/ton/ton29.html#AlasmarPC21,,,,,[],
article,,2021-09-16,"['Weng-Chon Ao', 'Po-Han Huang', 'Konstantinos Psounis']",[],Joint Workload Distribution and Capacity Augmentation in Hybrid Datacenter Networks.,2021,,IEEE/ACM Trans. Netw.,29,1,,120-133,https://doi.org/10.1109/TNET.2020.3027607,,db/journals/ton/ton29.html#AoHP21,,,,,[],
