type,sub_type,mdate,authors,editors,title,year,month,journal,volume,number,chapter,pages,ee,isbn,url,booktitle,crossref,publisher,school,citations,series
inproceedings,,2021-08-02,"['Yang Du 0006', 'He Huang 0001', 'Yu-e Sun', 'Shigang Chen', 'Guoju Gao']",[],Self-Adaptive Sampling for Network Traffic Measurement.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488425,,db/conf/infocom/infocom2021.html#00060SCG21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Yan Huang 0025', 'Y. Thomas Hou', 'Wenjing Lou']",[],A Deep-Learning-based Link Adaptation Design for eMBB/URLLC Multiplexing in 5G NR.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488790,,db/conf/infocom/infocom2021.html#0025HL21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Shivang Aggarwal', 'Moinak Ghoshal', 'Piyali Banerjee', 'Dimitrios Koutsonikolas', 'Joerg Widmer']",[],"802.11ad in Smartphones: Energy Efficiency, Spatial Reuse, and Impact on Applications.",2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488763,,db/conf/infocom/infocom2021.html#AggarwalGBKW21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Mohammad Arif Ul Alam', 'Md. Mahmudur Rahman', 'Jared Q. Widberg']",[],PALMAR: Towards Adaptive Multi-inhabitant Activity Recognition in Point-Cloud Technology.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488789,,db/conf/infocom/infocom2021.html#AlamRW21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2022-01-03,"['Aygün Baltaci', 'Markus Klügel', 'Fabien Geyer', 'Svetoslav Duhovnikov', 'Vaibhav Bajpai', 'Jörg Ott', 'Dominic Schupke']",[],Experimental UAV Data Traffic Modeling and Network Performance Analysis.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488878,,db/conf/infocom/infocom2021.html#BaltaciKGDBOS21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-07-23,"['Nader Bouacida', 'Jiahui Hou', 'Hui Zang', 'Xin Liu']",[],Adaptive Federated Dropout: Improving Communication Efficiency and Generalization for Federated Learning.,2021,,,,,,1-6,https://doi.org/10.1109/INFOCOMWKSHPS51825.2021.9484526,,db/conf/infocom/infocom2021w.html#BouacidaHZL21,INFOCOM Workshops,conf/infocom/2021w,,,[],
inproceedings,,2021-08-02,"['Yunxiang Cai', 'Hongzi Zhu', 'Xiao Wang', 'Shan Chang', 'Jiangang Shen', 'Minyi Guo']",[],Distributed Neighbor Distribution Estimation with Adaptive Compressive Sensing in VANETs.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488841,,db/conf/infocom/infocom2021.html#CaiZWCSG21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Syuan-Cheng Chen', 'Chi-Yu Li', 'Chui-Hao Chiu']",[],An Experience Driven Design for IEEE 802.11ac Rate Adaptation based on Reinforcement Learning.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488876,,db/conf/infocom/infocom2021.html#ChenLC21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-04,"['Long Chen 0025', 'Feilong Tang', 'Xu Li 0012']",[],Mobility- and Load-Adaptive Controller Placement and Assignment in LEO Satellite Networks.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488806,,db/conf/infocom/infocom2021.html#ChenT021,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Weirong Chen', 'Jiaqi Zheng', 'Haoyu Yu']",[],Dynamically Choosing the Candidate Algorithm with Ostasos in Online Optimization.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488692,,db/conf/infocom/infocom2021.html#ChenZY21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"[""Salvatore D'Oro"", 'Francesco Restuccia', 'Tommaso Melodia']",[],Can You Fix My Neural Network? Real-Time Adaptive Waveform Synthesis for Resilient Wireless Signal Classification.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488865,,db/conf/infocom/infocom2021.html#DOroRM21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-08-02,"['Penglin Dai', 'Kaiwen Hu', 'Xiao Wu 0001', 'Huanlai Xing', 'Zhaofei Yu']",[],Asynchronous Deep Reinforcement Learning for Data-Driven Task Offloading in MEC-Empowered Vehicular Networks.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488886,,db/conf/infocom/infocom2021.html#DaiH0XY21,INFOCOM,conf/infocom/2021,,,[],
inproceedings,,2021-12-06,"['Zipeng Dai', 'Hao Wang', 'Chi Harold Liu', 'Rui Han 0001', 'Jian Tang 0008', 'Guoren Wang']",[],Mobile Crowdsensing for Data Freshness: A Deep Reinforcement Learning Approach.,2021,,,,,,1-10,https://doi.org/10.1109/INFOCOM42981.2021.9488791,,db/conf/infocom/infocom2021.html#DaiWL0TW21,INFOCOM,conf/infocom/2021,,,[],
